Autumn in New York;[u'Romance', u'Drama'];[u'Allison Burnett'];Autumn_in_New_York;../data/scraping/texts/Autumn_in_New_York.txt
Avatar;[u'Action', u'Adventure', u'Sci-Fi'];[u'James Cameron'];Avatar;../data/scraping/texts/Avatar.txt
Avengers, The;[u'Action', u'Adventure'];[u'Don Macpherson'];Avengers;../data/scraping/texts/Avengers.txt
Avengers, The (2012);[u'Action', u'Adventure', u'Sci-Fi'];[u'Joss Whedon'];Avengers;../data/scraping/texts/Avengers.txt
Avventura, L' (The Adventure);[u'Drama', u'Mystery', u'Thriller'];[u'Michelangelo Antonioni', u'Elio Bartolini', u'Tonino Guerra'];Avventura;../data/scraping/texts/Avventura.txt
Awakenings;[u'Drama'];[u'Steven Zaillian'];Awakenings;../data/scraping/texts/Awakenings.txt
Babel;[u'Drama', u'Thriller'];[u'Guillermo Arriaga'];Babel;../data/scraping/texts/Babel.txt
Bachelor Party;[u'Comedy'];[u'Neal Israel', u'Pat Proft', u'Bob Israel'];Bachelor_Party;../data/scraping/texts/Bachelor_Party.txt
Bachelor Party, The;[u'Drama'];[u'Paddy Chayefsky'];Bachelor_Party;../data/scraping/texts/Bachelor_Party.txt
Back-up Plan, The;[u'Comedy', u'Romance'];[u'Kate Angelo'];Back-up_Plan;../data/scraping/texts/Back-up_Plan.txt
Backdraft;[u'Action', u'Drama', u'Mystery', u'Thriller'];[u'Gregory Widen'];Backdraft;../data/scraping/texts/Backdraft.txt
Bad Boys;[u'Action', u'Comedy'];[u'Michael Barrie', u'Jim Mulholland', u'Doug Richardson'];Bad_Boys;../data/scraping/texts/Bad_Boys.txt
Bad Country;[u'Action', u'Crime', u'Drama'];[u'Jonathan Hirschbein'];Bad_Country;../data/scraping/texts/Bad_Country.txt
Bad Day at Black Rock;[u'Drama', u'Thriller', u'Western'];[u'Don McGuire', u'Millard Kaufman', u'Howard Breslin'];Bad_Day_at_Black_Rock;../data/scraping/texts/Bad_Day_at_Black_Rock.txt
Bad Dreams;[u'Horror', u'Thriller'];[u'Andrew Fleming', u'Steven E. de Souza'];Bad_Dreams;../data/scraping/texts/Bad_Dreams.txt
Bad Lieutenant;[u'Crime', u'Drama'];[u'Abel Ferrara', u'Zoe Lund'];Bad_Lieutenant;../data/scraping/texts/Bad_Lieutenant.txt
Bad Santa;[u'Comedy', u'Crime'];[u'Glenn Ficarra', u'John Requa'];Bad_Santa;../data/scraping/texts/Bad_Santa.txt
Bad Teacher;[u'Comedy'];[u'Lee Eisenberg', u'Gene Stupnitsky'];Bad_Teacher;../data/scraping/texts/Bad_Teacher.txt
Badlands;[u'Crime', u'Thriller', u'Drama'];[u'Terence Malick'];Badlands;../data/scraping/texts/Badlands.txt
Bamboozled;[u'Comedy', u'Drama'];[u'Spike Lee'];Bamboozled;../data/scraping/texts/Bamboozled.txt
Barry Lyndon;[u'Drama', u'Romance', u'War'];[u'Stanley Kubrick'];Barry_Lyndon;../data/scraping/texts/Barry_Lyndon.txt
Barton Fink;[u'Comedy', u'Drama', u'Thriller'];[u'Joel Coen', u'Ethan Coen'];Barton_Fink;../data/scraping/texts/Barton_Fink.txt
Basic;[u'Drama', u'Mystery', u'Thriller'];[u'James Vanderbilt'];Basic;../data/scraping/texts/Basic.txt
Basic Instinct;[u'Crime', u'Mystery', u'Thriller'];[u'Joe Eszterhas'];Basic_Instinct;../data/scraping/texts/Basic_Instinct.txt
Basquiat;[u'Drama'];[u'Julian Schnabel'];Basquiat;../data/scraping/texts/Basquiat.txt
Batman;[u'Action', u'Crime', u'Fantasy', u'Thriller'];[u'Sam Hamm', u'Warren Skaaren'];Batman;../data/scraping/texts/Batman.txt
Batman 2;[u'Action', u'Crime', u'Fantasy', u'Thriller'];[u'Sam Hamm'];Batman_2;../data/scraping/texts/Batman_2.txt
Battle of Algiers, The;[u'Drama', u'War'];[u'Gillo Pontecorvo', u'Franco Solinas'];Battle_of_Algiers;../data/scraping/texts/Battle_of_Algiers.txt
Battle of Shaker Heights, The;[u'Drama', u'Romance', u'Comedy'];[u'Erica Beeney'];Battle_of_Shaker_Heights;../data/scraping/texts/Battle_of_Shaker_Heights.txt
Battle: Los Angeles;[u'Action', u'Sci-Fi'];[u'Chris Bertolini'];Battle:_Los_Angeles;../data/scraping/texts/Battle:_Los_Angeles.txt
Beach, The;[u'Drama', u'Adventure', u'Thriller'];[u'Alex Garland', u'John Hodge'];Beach;../data/scraping/texts/Beach.txt
Bean;[u'Comedy'];[u'Richard Curtist', u'Robin Briscoll'];Bean;../data/scraping/texts/Bean.txt
Beasts of the Southern Wild;[u'Drama', u'Fantasy'];[u'Lucy Alibar', u'Benh Zeitlin'];Beasts_of_the_Southern_Wild;../data/scraping/texts/Beasts_of_the_Southern_Wild.txt
Beavis and Butt-head Do America;[u'Animation', u'Comedy'];[u'Mike Judge', u'Joe Stillman'];Beavis_and_Butt-head_Do_America;../data/scraping/texts/Beavis_and_Butt-head_Do_America.txt
Beginners;[u'Comedy', u'Drama', u'Romance'];[u'Mike Mills'];Beginners;../data/scraping/texts/Beginners.txt
Being Human;[u'Comedy', u'Drama', u'Fantasy'];[u'Bill Forsyth'];Being_Human;../data/scraping/texts/Being_Human.txt
Being John Malkovich;[u'Comedy', u'Fantasy'];[u'Charlie Kaufman'];Being_John_Malkovich;../data/scraping/texts/Being_John_Malkovich.txt
Being There;[u'Comedy', u'Drama'];[u'Jerry Kosinski', u'Robert C. Jones'];Being_There;../data/scraping/texts/Being_There.txt
Believer, The;[u'Drama'];[u'Henry Bean', u'Mark Jacobson'];Believer;../data/scraping/texts/Believer.txt
Belle;[u'Drama', u'Romance'];[u'Misan Sagay'];Belle;../data/scraping/texts/Belle.txt
Beloved;[u'Drama'];[u'Richard LaGravenese', u'Toni Morrisson'];Beloved;../data/scraping/texts/Beloved.txt
Benny & Joon;[u'Comedy', u'Romance'];[u'Barry Berman', u'Lesley McNeil'];Benny_&_Joon;../data/scraping/texts/Benny_&_Joon.txt
Best Exotic Marigold Hotel, The;[u'Comedy', u'Drama'];[u'Ol Parker'];Best_Exotic_Marigold_Hotel;../data/scraping/texts/Best_Exotic_Marigold_Hotel.txt
Big;[u'Comedy', u'Family', u'Fantasy'];[u'Gary Ross', u'Anne Spielberg'];Big;../data/scraping/texts/Big.txt
Big Blue, The;[u'Drama', u'Romance'];[u'Luc Besson', u'Robert Garland'];Big_Blue;../data/scraping/texts/Big_Blue.txt
Big Eyes;[u'Crime', u'Drama'];[u'Scott Alexander', u'Larry Karaszewski'];Big_Eyes;../data/scraping/texts/Big_Eyes.txt
Big Fish;[u'Drama', u'Fantasy', u'Comedy', u'Adventure'];[u'Daniel Wallace', u'John August'];Big_Fish;../data/scraping/texts/Big_Fish.txt
Big Lebowski, The;[u'Comedy', u'Mystery', u'Thriller'];[u'Joel Coen', u'Ethan Coen'];Big_Lebowski;../data/scraping/texts/Big_Lebowski.txt
Big White, The;[u'Comedy', u'Crime', u'Drama'];[u'Collin Friesen'];Big_White;../data/scraping/texts/Big_White.txt
Birdman;[u'Comedy', u'Drama', u'Romance'];[u'Alejandro G. Inarritu', u'Nicolas Giacobone', u'Alexander Dinelaris Jr.', u'Armando Bo'];Birdman;../data/scraping/texts/Birdman.txt
Birds, The;[u'Drama', u'Horror', u'Thriller', u'Romance'];[u'Daphne Du Maurier', u'Evan Hunter'];Birds;../data/scraping/texts/Birds.txt
Birthday Girl;[u'Comedy', u'Drama', u'Romance', u'Crime'];[u'Tom Butterworth', u'Jez Butterworth'];Birthday_Girl;../data/scraping/texts/Birthday_Girl.txt
Black Dahlia, The;[u'Crime', u'Drama', u'Mystery', u'Thriller'];[u'Josh Friedman', u'James Ellroy'];Black_Dahlia;../data/scraping/texts/Black_Dahlia.txt
Black Rain;[u'Action', u'Crime', u'Drama'];[u'Craig Bolotin', u'Warren Lewis'];Black_Rain;../data/scraping/texts/Black_Rain.txt
Black Snake Moan;[u'Drama'];[u'Craig Brewer'];Black_Snake_Moan;../data/scraping/texts/Black_Snake_Moan.txt
Black Swan;[u'Drama', u'Mystery', u'Thriller'];[u'Mark Heyman', u'Andres Heinz', u'John McLaughlin'];Black_Swan;../data/scraping/texts/Black_Swan.txt
Blade;[u'Action', u'Horror', u'Sci-Fi'];[u'David S. Goyer'];Blade;../data/scraping/texts/Blade.txt
Blade II;[u'Action', u'Horror', u'Thriller'];[u'David S. Goyer'];Blade_II;../data/scraping/texts/Blade_II.txt
Blade Runner;[u'Action', u'Drama', u'Sci-Fi'];[u'Hampton Fancher', u'David Peoples'];Blade_Runner;../data/scraping/texts/Blade_Runner.txt
Blade: Trinity;[u'Action', u'Fantasy', u'Horror', u'Thriller'];[u'David S. Goyer'];Blade:_Trinity;../data/scraping/texts/Blade:_Trinity.txt
Blast from the Past, The;[u'Comedy', u'Drama', u'Romance'];[u'Bill Kelly', u'Hugh Wilson'];Blast_from_the_Past;../data/scraping/texts/Blast_from_the_Past.txt
Blind Side, The;[u'Drama'];[u'John Lee Hancock', u'Michael Lewis'];Blind_Side;../data/scraping/texts/Blind_Side.txt
Bling Ring, The;[u'Crime', u'Drama'];[u'Sofia Coppola'];Bling_Ring;../data/scraping/texts/Bling_Ring.txt
Blood and Wine;[u'Thriller', u'Crime', u'Drama'];[u'Nick Villiers'];Blood_and_Wine;../data/scraping/texts/Blood_and_Wine.txt
Blood Simple;[u'Drama', u'Thriller'];[u'Joel Coen', u'Ethan Coen'];Blood_Simple;../data/scraping/texts/Blood_Simple.txt
Blow;[u'Crime', u'Drama'];[u'David McKenna', u'Nick Cassavetes'];Blow;../data/scraping/texts/Blow.txt
Blue Valentine;[u'Drama', u'Romance'];[u'Derek Cianfrance', u'Cami Delavigne', u'Joey Curtis'];Blue_Valentine;../data/scraping/texts/Blue_Valentine.txt
Blue Velvet;[u'Crime', u'Drama', u'Mystery', u'Thriller'];[u'David Lynch'];Blue_Velvet;../data/scraping/texts/Blue_Velvet.txt
Bodies, Rest & Motion;[u'Drama', u'Romance'];[u'Roger Hedden'];Bodies;../data/scraping/texts/Bodies.txt
Body Heat;[u'Crime', u'Thriller'];[u'Lawrence Kasdan'];Body_Heat;../data/scraping/texts/Body_Heat.txt
Body of Evidence;[u'Romance', u'Thriller'];[u'Brad Mirman'];Body_of_Evidence;../data/scraping/texts/Body_of_Evidence.txt
Bodyguard;[u'Drama', u'Romance', u'Thriller'];[u'Lawrence Kasdan'];Bodyguard;../data/scraping/texts/Bodyguard.txt
Bones;[u'Horror'];[u'Adam Simon', u'Tim Metcalfe'];Bones;../data/scraping/texts/Bones.txt
Bonfire of the Vanities;[u'Comedy', u'Drama'];[u'Michael Cristofer'];Bonfire_of_the_Vanities;../data/scraping/texts/Bonfire_of_the_Vanities.txt
Bonnie and Clyde;[u'Crime', u'Drama', u'Romance'];[u'David Newman', u'Robert Benton'];Bonnie_and_Clyde;../data/scraping/texts/Bonnie_and_Clyde.txt
Boogie Nights;[u'Drama'];[u'Paul Thomas Anderson'];Boogie_Nights;../data/scraping/texts/Boogie_Nights.txt
Book of Eli, The;[u'Action', u'Adventure', u'Drama', u'Sci-Fi', u'Thriller', u'Western'];[u'Gary Whitta'];Book_of_Eli;../data/scraping/texts/Book_of_Eli.txt
Boondock Saints 2: All Saints Day;[u'Action', u'Crime', u'Drama', u'Thriller'];[u'Troy Duffy'];Boondock_Saints_2:_All_Saints_Day;../data/scraping/texts/Boondock_Saints_2:_All_Saints_Day.txt
Boondock Saints, The;[u'Crime', u'Drama', u'Thriller'];[u'Troy Duffy'];Boondock_Saints;../data/scraping/texts/Boondock_Saints.txt
Bottle Rocket;[u'Comedy', u'Crime'];[u'Owen Wilson', u'Wes Anderson'];Bottle_Rocket;../data/scraping/texts/Bottle_Rocket.txt
Bound;[u'Crime', u'Drama', u'Thriller'];[u'Andy Wachowski', u'Larry Wachowski'];Bound;../data/scraping/texts/Bound.txt
Bounty Hunter, The;[u'Action', u'Comedy', u'Crime', u'Romance'];[u'Sarah Thorp'];Bounty_Hunter;../data/scraping/texts/Bounty_Hunter.txt
